close,epoch,high,low,open
109573.1794,2025-05-07 09:40:00,109714.1402,109437.9618,109446.1081
109257.2258,2025-05-07 09:45:00,109565.3275,109193.5835,109539.6015
109637.3166,2025-05-07 09:50:00,109748.1367,109265.758,109274.6081
109578.3224,2025-05-07 09:55:00,109766.2022,109425.6576,109655.5573
109285.6077,2025-05-07 10:00:00,109688.102,109243.3085,109563.3739
109558.1511,2025-05-07 10:05:00,109620.2486,109135.0046,109311.2628
109792.7069,2025-05-07 10:10:00,109792.7069,109538.1584,109570.9706
110155.2598,2025-05-07 10:15:00,110332.9836,109797.1697,109801.3341
109645.1673,2025-05-07 10:20:00,110269.7815,109623.3837,110185.1497
109525.2067,2025-05-07 10:25:00,109797.2025,109327.4978,109636.1545
109466.9325,2025-05-07 10:30:00,109840.7102,109407.9039,109516.5486
109311.9191,2025-05-07 10:35:00,109605.8247,109198.9266,109437.6119
109342.8235,2025-05-07 10:40:00,109408.3179,109171.9724,109281.3421
109416.3849,2025-05-07 10:45:00,109490.0698,109211.0803,109359.2147
109451.4546,2025-05-07 10:50:00,109584.7513,109268.4964,109415.895
109720.1086,2025-05-07 10:55:00,109752.094,109237.4073,109473.2367
109379.8814,2025-05-07 11:00:00,109794.4526,109259.7416,109716.0065
109413.8253,2025-05-07 11:05:00,109772.486,109251.2933,109373.8955
109519.909,2025-05-07 11:10:00,109581.274,109224.8185,109415.5743
109660.1117,2025-05-07 11:15:00,109864.5625,109548.3937,109548.3937
109802.097,2025-05-07 11:20:00,109899.1885,109606.0126,109648.5939
109627.1733,2025-05-07 11:25:00,109820.186,109465.6407,109797.2658
109560.7831,2025-05-07 11:30:00,109777.797,109528.7566,109601.4133
109355.9113,2025-05-07 11:35:00,109586.8004,109298.0848,109567.1617
109729.1738,2025-05-07 11:40:00,109779.4264,109327.1748,109354.337
109588.7118,2025-05-07 11:45:00,109788.9386,109588.7118,109693.9484
109439.3845,2025-05-07 11:50:00,109678.5599,109417.0058,109603.7345
109635.6922,2025-05-07 11:55:00,109635.6922,109369.2323,109447.7496
109729.7644,2025-05-07 12:00:00,109889.7318,109517.3783,109629.0715
109708.944,2025-05-07 12:05:00,109870.1202,109591.2352,109710.8166
109780.7426,2025-05-07 12:10:00,109805.7043,109450.1426,109712.4747
109490.2772,2025-05-07 12:15:00,109913.4039,109468.415,109767.5612
109586.9748,2025-05-07 12:20:00,109694.8797,109282.8733,109516.2173
109715.0936,2025-05-07 12:25:00,109810.0444,109497.0323,109562.4885
109776.2648,2025-05-07 12:30:00,109896.5113,109550.2182,109686.9112
109989.6369,2025-05-07 12:35:00,110060.1339,109665.0227,109786.0707
109978.6953,2025-05-07 12:40:00,110317.6246,109808.3933,109937.3492
110109.1083,2025-05-07 12:45:00,110269.6547,109888.1725,109979.7931
110286.9295,2025-05-07 12:50:00,110297.0949,109899.2796,110163.9305
110049.7391,2025-05-07 12:55:00,110362.7663,109961.252,110273.0214
109567.0308,2025-05-07 13:00:00,110040.7058,109424.9606,110040.7058
109523.2269,2025-05-07 13:05:00,109629.3472,109317.4307,109577.8359
109968.7323,2025-05-07 13:10:00,110067.2403,109462.7469,109531.2725
109873.5279,2025-05-07 13:15:00,109995.7755,109718.1829,109995.7755
110000.4113,2025-05-07 13:20:00,110000.4113,109668.2968,109882.1422
110129.1836,2025-05-07 13:25:00,110217.1769,109832.5062,109958.6836
109877.8407,2025-05-07 13:30:00,110169.9932,109874.2497,110136.0664
110086.6582,2025-05-07 13:35:00,110174.5487,109872.365,109872.365
109904.5618,2025-05-07 13:40:00,110159.9336,109771.7172,110073.8993
110157.7425,2025-05-07 13:45:00,110243.2434,109804.918,109868.1042
110270.3175,2025-05-07 13:50:00,110294.3016,109993.1884,110164.6106
109949.0881,2025-05-07 13:55:00,110250.2691,109795.1142,110250.2691
109630.7679,2025-05-07 14:00:00,109953.1691,109505.8591,109939.3829
109815.8482,2025-05-07 14:05:00,109938.0275,109486.6062,109604.2146
109756.8167,2025-05-07 14:10:00,110050.8659,109749.4506,109839.245
109695.8404,2025-05-07 14:15:00,109766.7212,109412.3663,109766.7212
109372.1835,2025-05-07 14:20:00,109755.2332,109372.1835,109695.3661
109218.2003,2025-05-07 14:25:00,109429.6348,108920.7645,109374.055
109086.5376,2025-05-07 14:30:00,109209.437,109020.541,109209.437
108867.6046,2025-05-07 14:35:00,109107.7647,108668.5466,109104.1286
109285.0658,2025-05-07 14:40:00,109398.0404,108844.4381,108887.3407
109174.4191,2025-05-07 14:45:00,109384.0042,109062.8472,109279.0887
108898.4172,2025-05-07 14:50:00,109146.3421,108731.2771,109140.8277
108599.8541,2025-05-07 14:55:00,108901.9963,108561.8538,108874.8871
108725.9173,2025-05-07 15:00:00,108895.73,108591.3149,108597.4331
108807.7717,2025-05-07 15:05:00,108930.9464,108636.388,108751.8617
108703.047,2025-05-07 15:10:00,108802.0345,108672.9998,108782.8654
